CLEAN_NLP,CLEAN_TEXT,dominant_topic,sentimen
sangat bagus lanjutkan,bagus lanjutkan,0,Positif
tidak tersedia selimut di kamar kedepan perlu ditingkatkan kembali,tersedia selimut kamar kedepan ditingkatkan,1,Positif
tv di dalam kamar bisa menyala namun chanelnya tidak ada sama sekali stop kontak di dalam kamar perlu ditambah karena hanya ada stop kontak jendela kamar perlu dipasang korden tidak ada selimut didalam kamar perlunya dispenser air minum disetiap lorong kamar asrama,tv kamar menyala chanelnya stop kontak kamar ditambah stop kontak jendela kamar dipasang korden selimut didalam kamar dispenser air minum disetiap lorong kamar asrama,2,Positif
memanfaatkan teknologi dan menyisipkan video yang menarik supaya materi lebih dapat dicerna dan diingat,memanfaatkan teknologi menyisipkan video menarik materi dicerna,3,Positif
materi yang diberikan sangat bagus belum didapatkan sebelumnya ketika di unit kerja,materi bagus didapatkan unit kerja,0,Positif
waktu pelatihan harapannya dapat diperingkas agar lebih efektif efisien,pelatihan harapannya diperingkas efektif efisien,2,Positif
perlu pelatihan bagi jabatn fungsional penyuluh sosial,pelatihan jabatn fungsional penyuluh sosial,3,Positif
super good,super good,3,Positif
mohon ditingkatkan ketepatan waktu jadwal pembelajaran nya,mohon ditingkatkan ketepatan jadwal pembelajaran nya,1,Positif
asrama lantai sapta praja mohon lebih diperhatikan kebersihan dan kenyamanannya,asrama lantai sapta praja mohon diperhatikan kebersihan kenyamanannya,1,Positif
sudah baik,,0,Positif
baik,,0,Positif
sarana dan prasarana sudah bagus dalam mendukung pembelajaran,sarana prasarana bagus mendukung pembelajaran,0,Positif
ada diklat fungsional lanjutan,diklat fungsional lanjutan,3,Positif
semoga dapat sering diadakan,semoga diadakan,2,Positif
sering diadakan lagi oelatihan karena dapat menambah ilmu dan teman dengan adanya diklat tersebut,diadakan oelatihan menambah ilmu teman diklat,3,Positif
secara keseluruhan sudah baik semoga ke depan dapat mengadakan pengembangan kompetensi bagi asn di pemprov jawa timur,semoga mengadakan pengembangan kompetensi asn pemprov jawa timur,2,Positif
petugas pendamping harus siap standby di kelas dan siap dengan sarpras yang dibutuhkan peserta pembicaranarsum cepat tepat lugas dan yang terpenting layani dengan senyuman,petugas pendamping standby kelas sarpras dibutuhkan peserta pembicaranarsum cepat lugas terpenting layani senyuman,3,Positif
meningkatkan diklat diklat yg prioritas ditengah efisiensi,meningkatkan diklat diklat yg prioritas ditengah efisiensi,3,Positif
pertahankan kondisi sepertini bila perlu untuk lebih ditingkatkan,pertahankan kondisi sepertini ditingkatkan,1,Positif
pelaksanaan diklat fungsional selanjutnya perlu dilakukan pemberian tugas kelompok dan presentasi masingmasing,pelaksanaan diklat fungsional pemberian tugas kelompok presentasi masingmasing,3,Positif
ditingkatkan untuk fasilitas asrama,ditingkatkan fasilitas asrama,1,Positif
terima kasih atas ilmunya,terima kasih ilmunya,3,Positif
untuk keseluruhan sudah bagus direncanakan untuk pelatihan genz dimasa depanl maturnuwun,bagus direncanakan pelatihan genz dimasa depanl maturnuwun,0,Positif
ketepatan waktu dan fasilitas dalam pembelajaran yg lebih lengkap,ketepatan fasilitas pembelajaran yg lengkap,1,Positif
mohon disediakan air mineral di dalam ruangan,mohon disediakan air mineral ruangan,1,Positif
lebih baik lagi,,0,Positif
tingkatkan terus kualitas penyelenggaraan diklat,tingkatkan kualitas penyelenggaraan diklat,3,Positif
bagus,bagus,0,Positif
kbersihan kamar dan air di kamar mandi perlu menjadi perhatian perlu disediakan galon di kelas juga,kbersihan kamar air kamar mandi perhatian disediakan galon kelas,2,Positif
maintenance sarana prasarana di asrama dapat ditingkatkan,maintenance sarana prasarana asrama ditingkatkan,1,Positif
pertahankan pelayanan,pertahankan pelayanan,2,Positif
mohon program dibuat secara berkala untuk peningkatan kompetensi dan upgrade ilmu,mohon program berkala peningkatan kompetensi upgrade ilmu,1,Positif
sdh sesuai harapan,sdh sesuai harapan,3,Positif
diklatnya lebih banyak lagi,diklatnya,1,Positif
terutama sarana prasarana asrama yaitu kebersihan kamar saluran air lebih lancar deras,sarana prasarana asrama kebersihan kamar saluran air lancar deras,1,Positif
pada prinsipnya materi sudah sangat baik agar ditingkatkan pada kesiapan sebelym pemateri memberikan materinya dalam hal ini oanitia penyelenggara,prinsipnya materi ditingkatkan kesiapan sebelym pemateri materinya oanitia penyelenggara,1,Positif
sudah baik dan tingkatkan,tingkatkan,3,Positif
kalau bisa untuk ruang kelas yg memanjang sediakan layar lagi di tengah agar yg belakanh dapat melihat materi lebih nyaman kemudian untuk colokan stop kontak tolong diperbanyak karena di ruang a kemarin sangat terbatas,ruang kelas yg memanjang sediakan layar yg belakanh materi nyaman colokan stop kontak tolong diperbanyak ruang kemarin terbatas,3,Positif
sangat bagus,bagus,0,Positif
mohon dipertahankan ditambah diklat penjenjangan,mohon dipertahankan ditambah diklat penjenjangan,3,Positif
pemateri dari bkn bisa diberikan waktu lebih banyak untuk memberikan materi,pemateri bkn materi,3,Positif
ok,ok,0,Positif
diperlukan orientasi lapangan di instansi pembina bkn untuk studi banding,orientasi lapangan instansi pembina bkn studi banding,3,Positif
diklat jf untuk semua pns di pem prov jatim,diklat jf pns pem prov jatim,3,Netral
pelatihan agar sering diadakan dan utk materi lebih variatif dan lbh sesuai dg tujuan dan sasaran pelatihan,pelatihan diadakan utk materi variatif lbh sesuai dg tujuan sasaran pelatihan,2,Positif
mungkin disela sela pelatihan ada kegiatan pereganhan supaya tidak mengantuk atoungkin ada sedikit permainan,disela pelatihan kegiatan pereganhan mengantuk atoungkin permainan,2,Positif
selalu mengikuti peraturan dan halhal yang baru terupdate agar dapat diimplementasikan pada instansi,mengikuti peraturan halhal terupdate diimplementasikan instansi,3,Positif
perlu di agendakan kembali pelatihan analis sdm aparatur ini mengingat agar para peserta sepaham mengerti dan lebih profesional,agendakan pelatihan analis sdm aparatur peserta sepaham mengerti profesional,2,Positif
melaksanakan diklat prioritas sesuai kebutuhan,melaksanakan diklat prioritas sesuai kebutuhan,3,Positif
saran saya ini sdh cukup,saran sdh,3,Positif
tetap lebih variatif untuk metode pembelajarannya,variatif metode pembelajarannya,3,Positif
diberikan materi sesuai dengan narasumber yg dibidangnya,materi sesuai narasumber yg dibidangnya,3,Netral
semakin meroket,meroket,2,Positif
lebih disesuaikan dengan permasalahan di lapangan dan solusi masalah lebih banyak,disesuaikan permasalahan lapangan solusi,3,Positif
adanya pelatihan jf analis sdma terkait kelembagaan ketatalaksanaan dan proses bisnis organisasi,pelatihan jf analis sdma terkait kelembagaan ketatalaksanaan proses bisnis organisasi,2,Netral
pembelajaran diluar kelas,pembelajaran diluar kelas,3,Netral
ada tahapan sdm aparatur dg pembelajaran yang lain,tahapan sdm aparatur dg pembelajaran,3,Netral
perlu lebih banyak materi yang implementatif,materi implementatif,3,Positif
program diklat ini diharapkan dilaksanakan seraca berkelanjutan,program diklat diharapkan dilaksanakan seraca berkelanjutan,3,Positif
lebih banyak materi yang relevan pilih narasumberwi yang mumpuni kurangi materi propaganda pemerintah,materi relevan pilih narasumberwi mumpuni kurangi materi propaganda pemerintah,3,Positif
sebaiknya acara peningkatan kompetensi seperti ini dapat dilakukan secara rutin untuk semua jenjang pertama muda madya utama,acara peningkatan kompetensi rutin jenjang muda madya utama,2,Positif
ada pembelajaran di luar kelas,pembelajaran kelas,3,Netral
untuk kegiatan selanjutnya lebih lama untuk klasikal saja agar lebih fokus,kegiatan klasikal fokus,2,Positif
sdh sesuai harapan,sdh sesuai harapan,3,Positif
sudah sesuai dan tepat sasaran,sesuai sasaran,3,Positif
selalu disesusikan dg kebutuhan peserta diklat,disesusikan dg kebutuhan peserta diklat,3,Positif
materi disesusiksn dg oerkembangan regulasi yg ada agar kami bisa update informasinya,materi disesusiksn dg oerkembangan regulasi yg update informasinya,3,Positif
sangat baik untuk mengingat dan upgrade pengetahuan ttg fungsi dan tugas analis sdma,upgrade pengetahuan ttg fungsi tugas analis sdma,2,Positif
perlu ada materi tentang keorganisasian seperti pelatihan tentang penyusunan penjenjangan kinerja pohon kinerja organisasi kaitannya dengan sakip penyusunan proses bisnis evaluasi kelembagaan reformasi birokrasi dsb tampaknya perlu mengundang menpanrb sebagai narasumber karena pada materi dari bkn kemarin bu mariko dan bu nanda menyatakan bahwa di bkn belum ada pelatihan yg terkait dengan keorganisasian kelembagaan dan tata laksana padahal substansi hal tersebut ada pada fungsi jf analis sdm aparatur,materi keorganisasian pelatihan penyusunan penjenjangan kinerja pohon kinerja organisasi kaitannya sakip penyusunan proses bisnis evaluasi kelembagaan reformasi birokrasi dsb mengundang menpanrb narasumber materi bkn kemarin bu mariko bu nanda bkn pelatihan yg terkait keorganisasian kelembagaan tata laksana substansi fungsi jf analis sdm aparatur,2,Positif
disediakan payung karena kalau hujan merepotkan,disediakan payung hujan merepotkan,1,Positif
ditingkatkan asramanya,ditingkatkan asramanya,1,Positif
baik dipertahankan,dipertahankan,2,Positif
mohon di ditingkatkan lagi,mohon ditingkatkan,1,Positif
cukup baik,,0,Positif
sudah bagus tingkatkan kebersihan asrama,bagus tingkatkan kebersihan asrama,0,Positif
bagus perlu dilanjutkan untuk pelatihan serupa,bagus dilanjutkan pelatihan,0,Positif
sangat memuaskan dan bagus,memuaskan bagus,0,Positif
sudah baik,,0,Positif
mohon berkala diselenggarakan walaupun ada kontribusi dari peserta,mohon berkala diselenggarakan kontribusi peserta,1,Positif
mohon untuk ditingkatkan dan dipertahankan kegiatan pengembangan kompetensi bagi jabatan fungsional,mohon ditingkatkan dipertahankan kegiatan pengembangan kompetensi jabatan fungsional,1,Positif
diklat teknis,diklat teknis,3,Netral
pelatihan fungsional sdma lanjtan,pelatihan fungsional sdma lanjtan,2,Netral
pelatihan sangat bermanfaat semoga ke depan lebih maju lagi dengan asrama yang bagus bersih dan nyaman,pelatihan bermanfaat semoga maju asrama bagus bersih nyaman,2,Positif
sudah baik semua,,0,Positif
pelaksanaan kegiatan analis sdma sangat bermanfaat semoga dilain kesempatan dapat dilaksanakan kembali,pelaksanaan kegiatan analis sdma bermanfaat semoga dilain kesempatan dilaksanakan,2,Positif
lebi sering mengadakan untuk review,lebi mengadakan review,2,Netral
ada ol,ol,2,Netral
pelatihan sudah bagus dan sangat bermanfaat semoga bisa dilaksanakan selanjutnya untuk peserta yang lain,pelatihan bagus bermanfaat semoga dilaksanakan peserta,2,Positif
penyelenggaraan pelatihan sudah baik,penyelenggaraan pelatihan,3,Positif
pemberian materi tidak hanya menjelaskan slide tetapi ditambah dengan ice breaking untuk semua materi agar peserta bisa refresh materi yang disampaikan sebelumnya,pemberian materi slide ditambah ice breaking materi peserta refresh materi,3,Positif
sudah sangat baik namun untuk tetap ditingkatkan kembali,ditingkatkan,1,Positif
ditingkatkan,ditingkatkan,1,Positif
untuk lebih optimal bisa di pasang vidio troon untuk kelas belajar,optimal pasang vidio troon kelas belajar,3,Positif
pada prinsipnya semua pembelajaran dan pelatihan berjalan dengan baik dan lancar semua fasilitas dalam pelatihan sudah memenuhi syarat dari segi pemateri sudah menguasai materi dengan baik,prinsipnya pembelajaran pelatihan berjalan lancar fasilitas pelatihan memenuhi syarat segi pemateri menguasai materi,2,Positif
semakin sering dilaksanakan pelatihan jf seperti ini yang makin menambah pengetahuan wawasan dan bekal jf untuk uji kompetensi dan semoga saprasnya semakin baik bersih dan berfungsi dengan baik ke depannya,dilaksanakan pelatihan jf menambah pengetahuan wawasan bekal jf uji kompetensi semoga saprasnya bersih berfungsi depannya,2,Positif
waktu tatap muka terlalu singkat,tatap muka singkat,3,Negatif
diharapjan ada pelatihan berkelanjutan bg analis sdma,diharapjan pelatihan berkelanjutan bg analis sdma,2,Positif
perlu niningkatan bagi pemangku jf analis sdma,niningkatan pemangku jf analis sdma,2,Positif
cukup baik,,0,Positif
terima kasih,terima kasih,3,Positif
bagus,bagus,0,Positif
ditambah dengan study lapangan,ditambah study lapangan,3,Positif
waktu penyampaian kurang lama,penyampaian,1,Negatif
pelatihan jf analis sdma ini agar berkala diselenggarakan,pelatihan jf analis sdma berkala diselenggarakan,2,Positif
mohon untuk diadakan kegiatan lagi bagi yang belum ada kesempatan mengikuti di angkatan i dan ii dan mohon dibuat grup untuk penyampaian informasi terkait asdma,mohon diadakan kegiatan kesempatan mengikuti angkatan ii mohon grup penyampaian informasi terkait asdma,1,Positif
diklat teknis,diklat teknis,3,Netral
contoh contoh kasus diperbanyak dalam pemberian materi,contoh contoh diperbanyak pemberian materi,3,Positif
kegiatan pelatihan ini sangat bagus dan bermanfaat dan semoga bisa dilakukan secara berkala,kegiatan pelatihan bagus bermanfaat semoga berkala,2,Positif
banyak belajar ttg studi kasus dan problem solving,belajar ttg studi problem solving,1,Positif
penambahan materi dan narasumber dari instansi pembina dan bkn regional,penambahan materi narasumber instansi pembina bkn regional,3,Positif
studi lapangan,studi lapangan,3,Netral
mantap,mantap,0,Positif
sudah cukup baik,,0,Positif
peserta pelatihan bisa ditambah lagi dari pemda,peserta pelatihan ditambah pemda,2,Positif
perlu adanya studi kasus ke salah satu skpd agar bisa melakukan analisa dan evaluasi terhadap hasil pembelajaran selama pelatihan,studi salah skpd analisa evaluasi hasil pembelajaran pelatihan,2,Positif
sudah sangat baik untuk teknis ada prakteknya,teknis prakteknya,3,Positif
ditingkatkan,ditingkatkan,1,Positif
bisa di adakan secara klasikal,adakan klasikal,3,Positif
waktu lebih untuk ditambahkan sebab banyak materi yg blm sampai selesai,materi yg blm selesai,3,Positif
materinya sangat bermanfaat semoga ke depan semakin sering dilaksanakan pelatihan seperti ini yang sangat membantu persiapan uji kompetensi,materinya bermanfaat semoga dilaksanakan pelatihan membantu persiapan uji kompetensi,2,Positif
